id_localidad,localidad,padre,id_municipio,localidad_activo
715,Potrero de Reuter,,3,1
716,Pozo Viejo,,3,1
717,Predio Santa Anita,,3,1
718,Presa de Corrales,,3,1
719,Presa de Denís,,3,1
720,Providencia,,3,1
721,Puerta de Mano,,3,1
722,Rancherías,,3,1
723,Rancho Jayze,,3,1
724,Rancho Nuevo,,3,1
725,Rancho Piedras Blancas (La Presa),,3,1
726,Rancho Seco,,3,1
727,Rancho Viejo,,3,1
728,Roberto Valenzuela,,3,1
729,Román Yocupicio (El Ranchito),,3,1
730,Rosarito,,3,1
731,Rosarito Dos,,3,1
732,Rosarito Uno,,3,1
733,Sabinito Sur,,3,1
734,Sahuarivo,,3,1
735,San Agustín de la Palma,,3,1
736,San Alfonso (La Pasadita),,3,1
737,San Andrés,,3,1
738,San Antonio,,3,1
739,San Antonio de los González,,3,1
740,San Antonio de los López,,3,1
741,San Antonio del Cupis,,3,1
742,San Bernardo,,3,1
743,San Francisco,,3,1
744,San Ignacio,,3,1
745,San Isidro,,3,1
746,San José,,3,1
747,San Juan,,3,1
748,San Manuel,,3,1
749,San Martín,,3,1
750,San Miguel,,3,1
751,San Nicolás,,3,1
752,San Pablo,,3,1
753,San Pedro,,3,1
754,San Rafael,,3,1
755,San Rafael del Sabino (El Sabinito),,3,1
756,San Ramón (El Mezquital),,3,1
757,San Vicente,,3,1
758,San Vicente (La Discordia),,3,1
759,Santa Amalia (El Toro),,3,1
760,Santa Ana,,3,1
761,Santa Anita,,3,1
762,Santa Bárbara,,3,1
763,Santa Cruz,,3,1
764,Santa Fe,,3,1
765,Santa Rosa,,3,1
766,Satajaqui,,3,1
767,Sejaqui,,3,1
768,Setajaqui (Setajaqui del Río),,3,1
769,Sivilimora,,3,1
770,Sobia,,3,1
771,Sotorijaqui,,3,1
772,Tabelojaqui,,3,1
773,Tapizuelas,,3,1
774,Tasajera,,3,1
775,Táscate,,3,1
776,Taymuco,,3,1
777,Techobampo,,3,1
778,Tecoripa,,3,1
779,Tepara,,3,1
780,Tepopa,,3,1
781,Tetacora,,3,1
782,Tetacruz,,3,1
783,Tetagiosa,,3,1
784,Tobari,,3,1
785,Todos Santos,,3,1
786,Tojibampo,,3,1
787,Tonomino,,3,1
788,Topiyeca,,3,1
789,Tres Marías,,3,1
790,Tres Marías (Bachoco 3261),,3,1
791,Tres Marías (Bachoco 3262),,3,1
792,Tres Marías (Bachoco 3263),,3,1
793,Vado Cuate,,3,1
794,Vinatería,,3,1
795,Yocojigua,,3,1
796,Yoricarichic,,3,1
797,Zacatemato,,3,1
798,16 de Septiembre,,4,1
799,Agua Caliente,,4,1
800,Agustín Federico,,4,1
801,Alberto Escalante,,4,1
802,Alicia Limón García,,4,1
803,Alma Gloria (El Yaqui),,4,1
804,Altar,,4,1
805,Anselmo Contreras,,4,1
